mode,result,failure_reason,section,metric_key,metric_label,value,unit,formula,metric_schema_version,metric_description_id,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat
Traditional DUC,SUCCESS,,Run,mode,mode,Traditional DUC,text,,2026-08-04-evaluation-v3,metric.mode.md_e20804a1f613981a,実行情報,mode,その他,,,,,mode
Traditional DUC,SUCCESS,,Run,result,result,SUCCESS,text,,2026-08-04-evaluation-v3,metric.result.md_4f9f380d1263c94c,実行情報,result,その他,,,,,result
Traditional DUC,SUCCESS,,Run,failure_reason,failure reason,,text,,2026-08-04-evaluation-v3,metric.failure_reason.md_f9b3b5224a7de41b,実行情報,failure reason,その他,,,,,failure reason
Traditional DUC,SUCCESS,,Run,run_allowed_threads,allowed threads,8,threads,,2026-08-04-evaluation-v3,metric.threads.md_ca4e274ea02f9f92,実行情報,threads,その他,,,,,threads
Traditional DUC,SUCCESS,,Run,run_available_processors,available processors,8,processors,,2026-08-04-evaluation-v3,metric.processors.md_749721ca5bd01b98,実行情報,processors,その他,,,,,processors
Traditional DUC,SUCCESS,,Run,run_jvm_max_heap,JVM max heap,4294967296,B,,2026-08-04-evaluation-v3,memory.memory.md_508df3e95a8957c0,実行情報,メモリ,メモリ,,,,,メモリ
Traditional DUC,SUCCESS,,Run,run_java_version,Java version,16.0.1,text,,2026-08-04-evaluation-v3,metric.java_version.md_b6de49ebb68272ee,実行情報,Java version,その他,,,,,Java version
Traditional DUC,SUCCESS,,Run,run_evaluation_profile,evaluation profile,paper,text,,2026-08-04-evaluation-v3,metric.evaluation_profile.md_18187b01f3f57521,実行情報,evaluation profile,その他,,,,,evaluation profile
Traditional DUC,SUCCESS,,Run,run_java_vm_name,Java VM name,OpenJDK 64-Bit Server VM,text,,2026-08-04-evaluation-v3,metric.java_vm_name.md_7e1f131c95c5ecdd,実行情報,Java VM name,その他,,,,,Java VM name
Traditional DUC,SUCCESS,,Run,run_os_name,OS name,Mac OS X,text,,2026-08-04-evaluation-v3,metric.os_name.md_adf7470fc80f34e7,実行情報,OS name,その他,,,,,OS name
Traditional DUC,SUCCESS,,Run,run_os_arch,OS arch,x86_64,text,,2026-08-04-evaluation-v3,metric.os_arch.md_541c8075257639ec,実行情報,OS arch,その他,,,,,OS arch
