mode,result,failure_reason,section,metric_key,metric_label,value,unit,formula,metric_schema_version,metric_description_id,section_readable_ja,metric_readable_ja,metric_category,artifact,phase,action,event,stat
Stepwise Delayed DUC,SUCCESS,,Run,mode,mode,Stepwise Delayed DUC,text,,2026-08-04-evaluation-v4,metric.mode.md_565eea2551c8686c,実行情報,mode,その他,,,,,mode
Stepwise Delayed DUC,SUCCESS,,Run,result,result,SUCCESS,text,,2026-08-04-evaluation-v4,metric.result.md_f182c8365708e312,実行情報,result,その他,,,,,result
Stepwise Delayed DUC,SUCCESS,,Run,failure_reason,failure reason,,text,,2026-08-04-evaluation-v4,metric.failure_reason.md_70d5669840b2bfda,実行情報,failure reason,その他,,,,,failure reason
Stepwise Delayed DUC,SUCCESS,,Run,run_allowed_threads,allowed threads,24,threads,,2026-08-04-evaluation-v4,metric.threads.md_b90e800b3d8f8ad7,実行情報,threads,その他,,,,,threads
Stepwise Delayed DUC,SUCCESS,,Run,run_available_processors,available processors,24,processors,,2026-08-04-evaluation-v4,metric.processors.md_f8f3e70dc8ac0688,実行情報,processors,その他,,,,,processors
Stepwise Delayed DUC,SUCCESS,,Run,run_jvm_max_heap,JVM max heap,236223201280,B,,2026-08-04-evaluation-v4,memory.memory.md_8db9700fdbc32244,実行情報,メモリ,メモリ,,,,,メモリ
Stepwise Delayed DUC,SUCCESS,,Run,run_java_version,Java version,18.0.1.1,text,,2026-08-04-evaluation-v4,metric.java_version.md_c6231c64889e6879,実行情報,Java version,その他,,,,,Java version
Stepwise Delayed DUC,SUCCESS,,Run,run_evaluation_profile,evaluation profile,paper,text,,2026-08-04-evaluation-v4,metric.evaluation_profile.md_59fda9cf774f7784,実行情報,evaluation profile,その他,,,,,evaluation profile
Stepwise Delayed DUC,SUCCESS,,Run,run_java_vm_name,Java VM name,Java HotSpot(TM) 64-Bit Server VM,text,,2026-08-04-evaluation-v4,metric.java_vm_name.md_37d16ba2fd722467,実行情報,Java VM name,その他,,,,,Java VM name
Stepwise Delayed DUC,SUCCESS,,Run,run_os_name,OS name,Windows 10,text,,2026-08-04-evaluation-v4,metric.os_name.md_7a7b45654daf36b9,実行情報,OS name,その他,,,,,OS name
Stepwise Delayed DUC,SUCCESS,,Run,run_os_arch,OS arch,amd64,text,,2026-08-04-evaluation-v4,metric.os_arch.md_d4f03ee8705993d5,実行情報,OS arch,その他,,,,,OS arch
Stepwise Delayed DUC,SUCCESS,,メモリ使用量チェックポイント,auto_36bd60e5_current_heap,合成開始時 / 現在ヒープ,6215000,B,,2026-08-04-evaluation-v4,memory.memory.md_5ac4e0de6906a5b0,メモリ使用量,メモリ,メモリ,,,,,メモリ
